TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
11_56_12,89,4045.64,4088.21,4109.74,4185.13,4104.1,4104.62,4097.95,4099.49,4129.74,4071.79,4153.33,4218.46,4104.1,4076.92,0
11_56_12,90,4051.28,4092.31,4111.79,4187.69,4102.56,4092.31,4089.74,4088.21,4123.59,4074.87,4162.05,4215.38,4114.36,4086.67,0
11_56_12,91,4048.72,4084.62,4112.31,4186.67,4094.36,4084.1,4088.72,4090.77,4138.46,4070.77,4162.56,4204.1,4123.08,4086.67,0
11_56_12,92,4047.69,4080,4110.26,4187.18,4087.69,4084.1,4089.23,4089.74,4130.26,4057.44,4157.95,4208.21,4120,4078.97,0
11_56_12,93,4059.49,4088.21,4111.79,4185.13,4092.31,4092.31,4094.87,4089.74,4108.72,4062.56,4168.21,4220.51,4124.1,4092.82,0
11_56_12,94,4062.05,4091.28,4114.87,4182.56,4098.97,4094.87,4098.46,4105.13,4118.97,4076.41,4173.33,4214.87,4128.72,4104.62,0
11_56_12,95,4054.87,4087.69,4114.36,4184.62,4093.85,4091.28,4093.33,4114.87,4137.44,4077.95,4168.21,4201.03,4124.1,4094.36,0
11_56_12,96,4050.77,4085.64,4111.79,4182.05,4088.72,4093.33,4090.26,4102.56,4132.82,4076.92,4170.77,4206.15,4118.97,4088.21,0
11_56_12,97,4047.69,4086.15,4110.26,4182.05,4101.03,4094.36,4085.64,4090.26,4122.05,4073.85,4165.13,4215.38,4111.28,4088.21,0
11_56_12,98,4045.13,4089.74,4110.77,4189.23,4109.74,4090.26,4082.56,4091.28,4122.05,4069.74,4160.51,4209.23,4104.62,4083.08,0
11_56_12,99,4045.13,4091.28,4110.26,4185.64,4103.08,4090.77,4089.23,4094.87,4125.64,4067.69,4167.18,4194.36,4103.59,4077.44,0
11_56_12,100,4044.62,4089.74,4111.79,4173.33,4092.82,4092.31,4094.87,4091.79,4123.08,4057.95,4161.54,4191.79,4098.97,4073.33,0
11_56_12,101,4045.64,4089.74,4111.79,4171.79,4077.95,4089.74,4096.41,4092.82,4122.56,4057.95,4153.33,4196.92,4100.51,4074.36,0
11_56_12,102,4045.13,4081.54,4109.74,4170.77,4068.21,4089.23,4099.49,4103.59,4132.31,4071.79,4156.92,4194.36,4113.85,4076.92,0
11_56_12,103,4042.56,4075.9,4109.74,4164.1,4085.64,4093.33,4095.9,4111.79,4140.51,4076.41,4158.46,4188.21,4128.21,4074.87,0
11_56_12,104,4044.1,4087.18,4112.82,4167.69,4105.13,4091.79,4083.59,4107.18,4134.36,4080.51,4158.46,4184.1,4147.18,4072.82,0
11_56_12,105,4045.13,4088.21,4111.79,4173.85,4104.1,4089.23,4076.92,4096.92,4123.08,4092.31,4158.97,4183.59,4178.46,4073.85,0
11_56_12,106,4043.08,4071.79,4110.26,4168.72,4102.05,4090.77,4080.51,4098.46,4123.08,4089.23,4155.38,4182.05,4206.67,4074.36,0
11_56_12,107,4044.1,4074.87,4110.26,4166.15,4101.03,4088.72,4087.18,4106.67,4124.62,4074.36,4154.36,4175.38,4214.87,4071.79,0
11_56_12,108,4045.64,4089.23,4107.18,4168.72,4098.97,4088.21,4093.85,4104.62,4122.56,4068.21,4152.82,4170.77,4211.79,4065.64,0
11_56_12,109,4054.36,4091.28,4108.72,4169.23,4103.59,4098.46,4101.54,4110.26,4131.79,4077.44,4162.05,4189.74,4221.54,4074.87,0
11_56_12,110,4073.33,4097.44,4118.97,4169.74,4104.62,4110.26,4109.23,4128.21,4142.56,4092.31,4187.69,4218.46,4240.51,4101.03,0
11_56_12,111,4083.59,4103.59,4124.1,4172.82,4093.85,4105.64,4103.08,4128.21,4133.33,4094.87,4193.85,4215.9,4241.03,4110.77,0
11_56_12,112,4078.46,4093.33,4119.49,4172.82,4089.23,4090.77,4090.77,4120.51,4128.21,4086.15,4175.38,4200.51,4228.21,4097.44,0
11_56_12,113,4065.13,4081.03,4111.28,4168.21,4094.36,4090.26,4089.74,4121.03,4139.49,4078.46,4163.59,4195.38,4213.85,4082.56,0
11_56_12,114,4050.26,4078.97,4103.59,4159.49,4097.95,4103.08,4091.28,4112.82,4143.08,4083.08,4160.51,4186.67,4197.44,4069.74,0
11_56_12,115,4041.03,4077.44,4099.49,4154.36,4098.97,4109.23,4090.26,4108.21,4129.74,4091.79,4148.72,4168.72,4182.56,4056.92,0
11_56_12,116,4042.56,4082.56,4100.51,4159.49,4101.03,4101.03,4091.79,4112.82,4119.49,4088.21,4140.51,4156.41,4174.36,4054.36,0
11_56_12,117,4045.13,4088.21,4102.56,4157.44,4106.15,4093.33,4092.82,4106.15,4124.1,4076.41,4140,4156.92,4167.69,4057.95,0
11_56_12,118,4048.72,4089.23,4109.74,4153.85,4105.64,4099.49,4094.36,4101.03,4124.1,4069.74,4144.1,4167.69,4166.67,4064.1,0
11_56_12,119,4056.41,4087.18,4114.36,4162.56,4092.82,4103.59,4096.92,4104.1,4117.95,4067.69,4149.74,4172.82,4170.26,4075.38,0
11_56_12,120,4054.36,4077.95,4106.15,4160.51,4081.54,4093.33,4091.28,4093.85,4115.38,4061.03,4142.56,4156.92,4157.95,4069.23,0
11_56_12,121,4045.13,4082.56,4101.03,4151.79,4087.18,4087.18,4082.05,4084.62,4109.23,4050.26,4130.77,4150.26,4145.13,4051.79,0
11_56_12,122,4042.56,4096.41,4102.56,4152.82,4095.38,4094.36,4081.03,4094.36,4110.77,4049.74,4133.33,4159.49,4151.28,4051.28,0
11_56_12,123,4040,4089.23,4101.03,4153.85,4091.79,4098.97,4081.54,4101.54,4123.59,4063.59,4134.87,4151.79,4147.69,4050.77,0
11_56_12,124,4033.33,4077.44,4097.44,4149.74,4091.79,4095.38,4081.03,4106.67,4129.23,4079.49,4133.85,4138.97,4138.97,4042.56,0
11_56_12,125,4033.85,4080,4099.49,4149.74,4095.38,4092.82,4083.59,4121.03,4134.87,4093.85,4147.69,4148.21,4149.23,4048.72,0
11_56_12,126,4041.54,4085.13,4102.05,4151.79,4092.82,4090.77,4082.05,4127.18,4145.13,4098.46,4154.36,4161.54,4151.28,4056.92,0
11_56_12,127,4047.69,4090.77,4104.1,4153.33,4092.82,4088.21,4077.44,4109.74,4130.26,4086.67,4142.05,4155.9,4137.95,4050.77,0
11_56_12,128,4048.72,4096.92,4108.21,4154.87,4101.03,4089.23,4078.46,4090.26,4109.23,4073.33,4137.95,4150.26,4135.38,4051.28,0
