TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
12_32_43,107,4014.87,3997.44,4016.41,4089.23,4070.26,4069.23,4096.92,4074.87,4103.59,4043.59,4056.92,4098.46,3948.72,4092.31,0
12_32_43,108,4012.82,3986.15,4017.44,4090.77,4061.03,4073.85,4095.9,4075.9,4104.1,4041.54,4058.97,4101.54,3952.82,4089.23,0
12_32_43,109,4017.95,3995.9,4023.59,4093.85,4063.59,4069.74,4095.9,4076.92,4106.15,4045.64,4062.05,4105.13,3957.95,4094.87,0
12_32_43,110,4022.56,4007.18,4027.69,4092.31,4073.85,4070.77,4097.95,4080,4110.26,4044.62,4063.08,4108.72,3956.92,4101.54,0
12_32_43,111,4018.46,3996.41,4021.54,4088.21,4067.69,4068.21,4097.95,4078.97,4112.31,4043.59,4062.05,4110.26,3948.21,4096.41,0
12_32_43,112,4011.79,3985.13,4014.36,4082.56,4056.92,4056.41,4092.82,4073.33,4107.69,4041.54,4058.46,4104.1,3942.05,4089.23,0
12_32_43,113,4005.64,3987.69,4011.28,4076.92,4059.49,4051.79,4088.21,4071.79,4103.59,4038.97,4053.33,4096.41,3941.03,4089.74,0
12_32_43,114,4003.08,3988.72,4013.85,4078.97,4062.56,4060,4094.36,4079.49,4108.21,4045.64,4057.44,4100.51,3940.51,4093.85,0
12_32_43,115,4005.64,3988.21,4019.49,4086.15,4055.9,4062.56,4100,4084.62,4111.79,4050.26,4066.15,4111.28,3944.62,4095.38,0
12_32_43,116,3998.97,3985.64,4017.44,4085.13,4053.33,4057.95,4094.36,4079.49,4106.67,4040.51,4058.46,4107.18,3944.62,4088.21,0
12_32_43,117,3988.72,3977.95,4011.28,4080,4056.41,4057.95,4091.28,4075.9,4105.13,4037.95,4048.21,4097.44,3932.82,4078.46,0
12_32_43,118,3992.82,3977.44,4015.38,4081.54,4058.97,4058.97,4096.92,4082.05,4108.72,4042.05,4051.79,4103.08,3930.26,4080.51,0
12_32_43,119,4005.13,3988.21,4026.15,4089.74,4061.03,4060,4099.49,4085.64,4110.26,4042.56,4064.62,4119.49,3949.23,4091.79,0
12_32_43,120,4014.36,3997.44,4034.87,4102.05,4062.56,4061.03,4098.46,4079.49,4110.77,4047.18,4072.82,4128.21,3958.46,4097.95,0
12_32_43,121,4015.9,3997.95,4035.9,4105.64,4062.05,4058.97,4097.44,4075.9,4112.31,4052.82,4071.28,4126.67,3948.72,4101.54,0
12_32_43,121,4015.9,3997.95,4035.9,4105.64,4062.05,4058.97,4097.44,4075.9,4112.31,4052.82,4071.28,4126.67,3948.72,4101.54,0
12_32_43,122,4011.28,3995.9,4032.31,4097.44,4059.49,4055.9,4092.31,4075.9,4109.23,4049.23,4069.74,4124.62,3947.18,4102.05,0
12_32_43,123,4010.26,3995.9,4033.85,4097.95,4060,4058.97,4092.31,4075.9,4107.18,4050.26,4071.28,4125.13,3957.95,4102.56,0
12_32_43,124,4014.87,3995.38,4035.9,4103.59,4061.03,4061.54,4099.49,4077.95,4110.77,4050.26,4072.31,4125.13,3962.05,4105.64,0
12_32_43,125,4009.74,3987.69,4026.67,4091.79,4059.49,4057.44,4097.95,4080,4109.74,4036.41,4070.26,4118.97,3949.74,4100,0
12_32_43,126,4002.05,3984.1,4017.95,4081.54,4058.97,4052.82,4091.79,4077.44,4107.69,4035.9,4067.69,4113.33,3946.67,4093.85,0
12_32_43,127,4006.67,3992.31,4028.21,4091.79,4060.51,4049.74,4092.31,4075.9,4112.31,4054.87,4071.28,4120.51,3955.9,4102.05,0
12_32_43,128,4015.9,3994.87,4034.87,4096.92,4060.51,4051.79,4093.85,4076.41,4112.82,4060.51,4077.44,4127.18,3952.82,4108.21,0
12_32_43,0,4017.44,3990.26,4027.69,4091.79,4058.97,4055.38,4091.79,4076.41,4107.69,4052.31,4074.87,4118.97,3949.23,4104.1,0
12_32_43,1,4012.82,3987.18,4025.13,4089.23,4058.97,4051.79,4090.77,4078.97,4108.72,4047.18,4069.23,4113.85,3959.49,4099.49,0
12_32_43,2,4005.13,3986.15,4026.67,4089.74,4056.41,4045.64,4089.23,4074.87,4106.67,4036.92,4069.74,4113.85,3958.46,4097.44,0
12_32_43,3,4003.08,3988.72,4024.62,4090.77,4052.31,4045.64,4088.21,4068.21,4095.38,4030.26,4065.64,4106.15,3942.56,4090.77,0
12_32_43,4,4011.79,3989.74,4029.23,4091.79,4054.36,4049.23,4090.26,4069.74,4090.77,4035.9,4062.05,4109.74,3945.64,4090.77,0
12_32_43,5,4017.44,3981.03,4036.92,4088.21,4061.54,4052.82,4093.33,4072.31,4095.9,4032.82,4068.72,4121.03,3952.82,4095.38,0
12_32_43,6,4013.85,3980,4033.85,4085.13,4062.05,4049.74,4094.87,4066.67,4090.77,4020,4067.69,4113.33,3940.51,4091.28,0
12_32_43,7,4014.87,3992.82,4028.72,4089.23,4053.85,4038.46,4089.23,4061.54,4077.44,4015.9,4056.92,4100,3931.79,4086.67,0
12_32_43,8,4030.26,4006.15,4036.92,4096.92,4052.82,4034.87,4081.54,4064.62,4078.97,4023.59,4061.54,4109.23,3943.59,4097.95,0
12_32_43,9,4044.62,4011.28,4048.21,4101.03,4061.54,4044.1,4085.13,4067.18,4089.74,4026.67,4071.28,4118.46,3958.97,4112.31,0
12_32_43,10,4043.59,4007.69,4046.15,4094.87,4060.51,4044.1,4088.72,4064.1,4086.67,4020.51,4064.1,4113.33,3960,4109.23,0
12_32_43,11,4042.56,4005.13,4044.1,4091.79,4057.95,4041.54,4087.69,4067.69,4086.67,4025.64,4063.59,4116.41,3965.64,4106.15,0
12_32_43,12,4046.15,4008.21,4050.26,4098.46,4065.64,4046.15,4089.23,4076.92,4096.41,4031.79,4077.95,4124.1,3977.95,4110.26,0
12_32_43,13,4042.56,4009.23,4054.87,4097.44,4068.21,4045.64,4091.79,4076.92,4095.38,4029.74,4081.54,4124.1,3982.05,4109.74,0
12_32_43,14,4037.95,4005.13,4056.92,4093.33,4061.54,4040.51,4090.26,4070.26,4088.72,4030.77,4075.9,4123.59,3982.56,4108.72,0
12_32_43,15,4035.9,3997.95,4056.92,4093.85,4058.46,4040.51,4090.77,4072.31,4090.26,4030.26,4074.36,4121.03,3985.13,4111.28,0
