TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
12_9_56,106,4040.51,4198.97,4193.33,4168.21,4890.77,4121.03,4126.67,4098.97,4167.69,3355.9,4452.82,4158.46,4191.28,4126.15,0
12_9_56,107,4045.64,4200.51,4197.95,4167.69,4911.79,4116.92,4125.64,4102.05,4153.85,3330.26,4456.41,4156.92,4188.72,4123.59,0
12_9_56,108,4059.49,4206.67,4204.1,4179.49,4931.28,4121.03,4131.79,4101.03,4164.62,3324.62,4450.26,4168.72,4193.85,4133.85,0
12_9_56,109,4061.54,4210.77,4200,4183.59,4938.46,4123.59,4127.18,4097.95,4172.31,3308.21,4432.31,4167.18,4191.28,4130.26,0
12_9_56,110,4051.79,4200.51,4193.85,4169.23,4948.72,4120.51,4120,4096.92,4149.74,3266.15,4418.46,4151.79,4176.41,4115.9,0
12_9_56,111,4053.85,4194.87,4196.92,4164.62,4964.1,4128.21,4132.31,4098.46,4135.38,3240.51,4425.13,4151.28,4168.21,4120,0
12_9_56,112,4063.08,4203.08,4198.97,4174.36,4964.1,4140.51,4144.62,4098.97,4143.08,3243.59,4431.28,4157.95,4175.38,4124.1,0
12_9_56,113,4060.51,4198.46,4192.31,4165.64,4953.33,4140.51,4140.51,4098.97,4145.13,3248.72,4423.59,4153.33,4180,4108.72,0
12_9_56,114,4055.38,4186.15,4189.74,4150.26,4953.85,4131.79,4136.41,4098.46,4157.44,3268.21,4415.9,4150.26,4178.46,4103.59,0
12_9_56,115,4064.1,4190.77,4196.41,4160,4961.03,4127.69,4132.82,4098.46,4169.74,3289.74,4416.92,4153.33,4192.31,4114.87,0
12_9_56,116,4075.38,4202.56,4198.46,4171.79,4964.62,4127.18,4127.18,4099.49,4162.05,3282.56,4416.92,4156.92,4212.82,4119.49,0
12_9_56,117,4077.44,4200,4196.41,4169.23,4954.87,4125.13,4124.62,4100,4162.05,3283.59,4410.77,4164.62,4220,4115.9,0
12_9_56,118,4073.85,4185.13,4196.92,4166.15,4946.15,4122.56,4121.03,4098.46,4157.44,3289.74,4405.13,4164.62,4224.1,4108.21,0
12_9_56,119,4078.46,4184.1,4198.46,4169.23,4959.49,4123.59,4117.95,4099.49,4131.79,3265.13,4402.05,4159.49,4237.44,4104.1,0
12_9_56,120,4084.62,4198.97,4198.46,4173.85,4971.28,4130.77,4122.56,4102.05,4130.26,3259.49,4405.64,4167.18,4250.26,4109.74,0
