TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
12_27_15,110,4086.67,4093.33,4090.77,4090.26,4112.82,4094.87,4089.23,4090.77,4090.77,4100,4092.31,4106.67,4080,4087.69,0
12_27_15,111,4083.08,4093.85,4089.74,4088.21,4107.69,4091.79,4087.69,4092.82,4093.33,4091.79,4092.31,4104.62,4081.54,4087.18,0
12_27_15,112,4090.26,4100.51,4094.36,4091.79,4106.67,4097.44,4097.44,4100,4095.9,4093.33,4096.41,4108.72,4087.18,4092.82,0
12_27_15,113,4095.38,4101.54,4093.85,4093.85,4111.28,4099.49,4105.13,4102.56,4096.92,4093.33,4098.46,4111.28,4086.67,4092.31,0
12_27_15,114,4086.67,4095.38,4088.72,4091.28,4106.67,4095.9,4098.46,4097.95,4095.38,4086.15,4094.36,4106.67,4077.95,4089.74,0
12_27_15,115,4084.1,4093.85,4090.26,4091.28,4103.59,4096.41,4095.9,4101.54,4096.41,4091.28,4093.85,4106.15,4076.92,4090.77,0
12_27_15,116,4090.77,4092.31,4091.79,4092.82,4109.74,4096.41,4100,4106.15,4096.41,4092.82,4096.92,4108.21,4079.49,4087.18,0
12_27_15,117,4089.74,4092.82,4091.79,4090.26,4109.23,4090.77,4094.36,4095.38,4090.77,4084.62,4092.82,4107.69,4077.95,4083.59,0
12_27_15,118,4087.69,4102.05,4095.9,4089.23,4104.62,4089.74,4088.21,4087.18,4086.15,4089.23,4092.31,4108.72,4080.51,4089.23,0
12_27_15,119,4092.82,4105.13,4098.46,4093.33,4107.69,4094.36,4091.28,4092.82,4091.28,4094.36,4096.92,4111.79,4083.08,4094.36,0
12_27_15,120,4092.31,4095.9,4095.9,4092.31,4107.69,4095.38,4092.31,4093.85,4095.38,4092.31,4093.33,4109.74,4085.13,4091.28,0
12_27_16,121,4086.67,4095.9,4091.79,4090.77,4107.69,4093.33,4089.23,4088.21,4090.77,4093.33,4086.15,4105.64,4087.18,4089.74,0
12_27_16,122,4097.95,4108.72,4096.92,4101.03,4121.54,4102.05,4093.85,4093.33,4095.38,4094.87,4096.41,4110.26,4089.74,4095.38,0
12_27_16,123,4110.77,4112.82,4104.62,4109.74,4132.31,4111.28,4097.44,4097.95,4107.69,4095.38,4107.69,4116.41,4093.33,4098.97,0
12_27_16,124,4101.03,4108.21,4101.54,4104.1,4124.1,4105.13,4093.85,4094.36,4099.49,4096.41,4099.49,4110.26,4091.79,4095.9,0
12_27_16,125,4089.23,4104.62,4093.33,4094.87,4109.74,4093.85,4090.26,4090.26,4084.1,4089.74,4089.23,4100,4085.13,4090.77,0
12_27_16,126,4091.28,4105.64,4093.33,4092.31,4105.64,4092.31,4091.28,4088.72,4087.18,4086.15,4089.74,4100.51,4081.54,4087.18,0
12_27_16,127,4092.31,4105.64,4095.9,4092.31,4110.26,4095.9,4092.31,4089.74,4092.82,4093.85,4091.28,4106.15,4085.13,4085.64,0
12_27_16,128,4088.72,4104.1,4092.31,4090.77,4109.74,4094.87,4091.28,4090.26,4085.64,4092.82,4089.74,4104.62,4083.08,4087.69,0
12_27_16,0,4091.79,4106.67,4091.79,4090.77,4104.62,4092.31,4091.28,4089.23,4079.49,4081.54,4092.82,4105.64,4077.44,4090.77,0
12_27_16,1,4093.33,4101.54,4093.85,4091.79,4104.62,4088.21,4089.23,4086.67,4079.49,4077.44,4092.82,4107.18,4075.38,4090.26,0
12_27_16,2,4086.67,4091.28,4090.77,4088.72,4107.69,4081.03,4085.13,4086.67,4080,4083.59,4089.23,4101.03,4075.38,4088.21,0
12_27_16,3,4086.15,4095.38,4091.79,4088.21,4106.15,4081.54,4086.15,4089.74,4085.64,4089.74,4092.82,4098.46,4078.46,4087.18,0
12_27_16,4,4091.79,4101.54,4097.44,4091.28,4104.62,4088.72,4089.23,4092.31,4090.26,4096.92,4097.44,4106.67,4085.13,4089.74,0
12_27_16,5,4092.31,4096.92,4095.9,4091.79,4104.1,4089.74,4089.74,4091.28,4086.15,4097.44,4094.87,4109.74,4084.62,4090.77,0
12_27_16,6,4093.33,4098.46,4096.41,4088.72,4105.13,4089.74,4090.77,4089.74,4083.59,4089.74,4092.82,4107.18,4080,4089.74,0
12_27_16,7,4097.95,4106.15,4102.56,4090.26,4106.15,4093.85,4091.79,4093.85,4090.26,4094.87,4098.97,4113.85,4084.1,4095.9,0
12_27_16,8,4098.97,4106.15,4104.1,4094.36,4106.15,4095.9,4090.77,4096.92,4095.38,4109.74,4106.67,4121.03,4092.31,4103.08,0
