20,4105.64,4106.15,4104.62,4072.82,4046.67,4059.49,4116.41,4060,4073.85,4043.08,4075.9,4076.92,4074.36,4105.13,0
21,4115.9,4110.77,4100.51,4084.62,4033.85,4059.49,4122.56,4067.69,4077.44,4060.51,4076.41,4074.87,4080,4101.54,0
22,4120,4114.87,4096.92,4094.36,4085.64,4071.28,4124.62,4069.23,4088.21,4126.15,4069.74,4075.38,4076.92,4094.36,0
23,4105.64,4102.05,4092.82,4076.92,4085.13,4062.05,4110.77,4062.56,4092.31,4096.92,4066.15,4067.18,4071.79,4087.69,0
24,4100,4097.44,4090.77,4066.15,4056.41,4056.92,4105.64,4065.64,4086.15,4059.49,4074.36,4070.77,4075.9,4090.77,0
25,4108.72,4105.13,4090.77,4076.41,4063.59,4080,4121.03,4068.21,4075.38,4086.15,4076.92,4080.51,4078.46,4094.87,0
26,4112.31,4108.72,4091.28,4084.62,4082.05,4086.15,4127.18,4058.46,4068.21,4073.85,4068.21,4076.92,4073.33,4095.38,0
27,4108.21,4104.62,4090.26,4077.95,4074.87,4053.33,4109.23,4051.28,4065.64,4037.95,4058.46,4071.28,4068.72,4093.33,0
28,4106.15,4104.62,4088.72,4073.85,4046.67,4040,4100.51,4055.9,4069.23,4048.72,4061.03,4073.33,4068.72,4088.72,0
29,4110.26,4111.28,4089.23,4082.56,4040.51,4071.28,4115.38,4065.64,4077.95,4068.21,4070.77,4077.44,4071.79,4092.82,0
30,4126.67,4121.54,4092.31,4091.79,4095.38,4091.28,4128.21,4073.85,4081.03,4075.38,4081.03,4086.67,4081.03,4104.1,0
31,4138.97,4133.33,4094.36,4097.44,4127.18,4077.95,4127.18,4076.41,4080.51,4077.44,4089.23,4096.41,4093.85,4110.77,0
32,4140.51,4133.33,4090.77,4104.62,4071.28,4067.18,4122.56,4075.9,4088.21,4086.15,4084.62,4091.28,4092.31,4107.69,0
33,4149.74,4125.64,4084.1,4104.62,4078.97,4077.95,4125.64,4080.51,4100,4119.49,4075.9,4083.08,4084.1,4105.13,0
34,4155.38,4125.64,4080,4089.23,4143.08,4087.69,4126.67,4070.26,4084.62,4108.72,4077.44,4084.1,4083.59,4104.62,0
35,4134.36,4119.49,4075.9,4075.9,4082.05,4072.31,4110.77,4045.64,4057.95,4050.26,4067.18,4077.95,4070.77,4092.82,0
36,4120,4102.56,4073.85,4077.44,4008.72,4048.21,4101.03,4047.18,4060.51,4040,4051.28,4067.18,4056.41,4087.18,0
37,4132.82,4109.23,4076.41,4087.69,4084.62,4061.54,4116.92,4066.67,4077.95,4067.69,4062.56,4071.79,4070.77,4101.03,0
38,4131.79,4124.1,4070.77,4089.74,4122.05,4094.87,4123.08,4065.13,4077.44,4080.51,4069.23,4073.33,4077.95,4100,0
39,4107.18,4108.21,4058.46,4079.49,4040.51,4080.51,4105.64,4049.23,4067.69,4070.77,4051.28,4057.44,4055.9,4077.95,0
40,4102.56,4101.03,4060,4077.95,4051.28,4044.62,4105.13,4053.33,4074.87,4064.62,4051.79,4054.87,4055.9,4080.51,0
41,4111.28,4117.95,4068.21,4083.08,4133.33,4051.79,4115.38,4064.62,4076.92,4071.79,4068.72,4066.67,4079.49,4097.44,0
42,4103.08,4107.18,4058.97,4076.92,4098.97,4067.69,4105.64,4055.38,4061.03,4058.46,4064.62,4062.05,4076.92,4087.18,0
43,4097.44,4083.59,4050.77,4071.79,4017.95,4053.33,4095.9,4048.72,4061.03,4044.1,4055.38,4055.38,4058.97,4077.95,0
44,4109.23,4092.31,4058.97,4077.44,4036.92,4049.23,4105.13,4063.08,4077.44,4074.87,4061.03,4063.59,4058.97,4091.28,0
45,4105.64,4102.05,4061.54,4071.28,4070.77,4057.44,4111.79,4066.15,4078.97,4074.87,4061.03,4064.62,4063.08,4088.21,0
46,4085.64,4087.69,4048.21,4055.9,4040,4058.46,4103.59,4049.74,4063.59,4024.62,4050.26,4053.33,4056.41,4072.82,0
47,4089.23,4086.15,4046.67,4061.54,4052.31,4072.82,4107.18,4057.95,4072.82,4051.28,4058.97,4063.08,4065.64,4086.67,0
48,4111.28,4105.13,4058.46,4080,4105.64,4082.56,4121.03,4079.49,4096.41,4110.77,4078.97,4084.62,4091.28,4109.23,0
49,4114.87,4109.74,4056.92,4078.46,4107.18,4064.62,4116.41,4068.72,4091.79,4097.95,4067.18,4075.38,4092.82,4100.51,0
50,4103.59,4100,4052.31,4068.21,4075.9,4053.85,4102.05,4049.23,4066.15,4066.15,4044.62,4057.95,4071.28,4082.56,0
51,4101.54,4102.56,4058.46,4078.97,4067.18,4061.03,4101.54,4055.38,4059.49,4060,4056.92,4068.21,4074.36,4090.26,0
52,4117.44,4115.38,4059.49,4094.36,4079.49,4062.56,4107.69,4064.1,4070.26,4072.82,4080.51,4083.08,4101.54,4111.28,0
53,4123.08,4112.31,4047.69,4088.72,4070.77,4058.97,4103.08,4053.85,4066.15,4072.82,4073.33,4070.77,4104.1,4107.69,0
54,4109.23,4104.1,4040.51,4077.95,4049.23,4055.9,4091.79,4039.49,4053.33,4058.46,4050.26,4052.31,4080,4087.69,0
55,4114.87,4115.38,4045.64,4084.62,4060,4056.41,4091.28,4044.1,4054.87,4067.18,4053.85,4061.54,4076.41,4092.31,0
56,4125.13,4120,4048.21,4087.69,4091.28,4062.56,4095.9,4055.9,4063.08,4084.62,4075.9,4076.41,4096.41,4106.15,0
57,4108.21,4103.59,4043.59,4075.9,4078.97,4063.08,4091.28,4048.72,4057.44,4073.85,4073.33,4066.15,4095.9,4097.44,0
