TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
19_54_30,72,4117.95,4107.69,4132.82,4114.36,4109.74,4101.03,4106.15,4706.15,4097.95,4078.46,4099.49,4129.74,4091.28,4149.23,0
19_54_30,73,4122.56,4110.77,4134.87,4126.15,4124.1,4124.1,4116.41,4707.69,4105.64,4087.18,4107.69,4129.74,4096.41,4151.79,0
19_54_30,74,4092.31,4091.28,4113.85,4108.21,4104.62,4107.69,4104.1,4690.77,4090.26,4065.13,4080,4109.74,4067.69,4123.59,0
19_54_30,75,4068.21,4072.82,4093.85,4088.72,4084.1,4090.26,4096.41,4675.38,4086.15,4053.33,4062.56,4094.36,4047.69,4103.08,0
19_54_30,76,4078.46,4082.05,4097.44,4100,4091.79,4103.08,4107.18,4677.44,4101.54,4072.82,4082.56,4095.38,4065.13,4114.36,0
19_54_30,77,4078.46,4092.31,4091.79,4104.1,4092.82,4096.41,4106.67,4668.21,4099.49,4076.92,4084.62,4086.67,4074.87,4117.44,0
19_54_30,78,4073.85,4097.44,4075.9,4094.36,4091.28,4090.26,4107.18,4662.56,4102.05,4075.38,4080,4069.74,4074.36,4113.33,0
19_54_30,79,4088.21,4113.85,4083.08,4101.03,4106.67,4123.08,4122.05,4670.77,4113.33,4088.72,4091.28,4071.79,4085.64,4124.1,0
19_54_30,80,4086.15,4122.56,4085.13,4114.87,4120,4134.87,4126.67,4662.05,4108.21,4091.28,4094.36,4069.23,4089.74,4127.18,0
19_54_30,81,4076.41,4114.36,4084.62,4121.03,4123.08,4117.95,4123.59,4648.72,4113.33,4087.18,4093.33,4069.23,4084.62,4125.64,0
19_54_30,82,4083.08,4110.77,4090.26,4119.49,4124.62,4129.23,4125.64,4648.72,4123.08,4094.36,4096.41,4075.9,4082.05,4131.28,0
19_54_30,83,4081.54,4096.92,4094.87,4104.1,4105.13,4126.15,4121.54,4639.49,4102.56,4082.05,4077.95,4083.08,4071.79,4121.54,0
19_54_30,84,4067.69,4077.44,4081.54,4087.69,4083.59,4101.54,4114.36,4624.62,4091.79,4066.67,4062.56,4074.87,4062.05,4100.51,0
19_54_30,85,4070.77,4080,4078.97,4093.33,4093.85,4112.31,4120,4618.46,4105.64,4073.85,4072.82,4074.36,4061.03,4096.41,0
19_54_30,86,4076.41,4081.54,4077.95,4100,4108.21,4139.49,4122.05,4612.31,4106.15,4081.03,4076.41,4066.15,4062.56,4097.95,0
19_54_30,87,4075.38,4068.72,4078.46,4090.77,4095.38,4132.31,4114.36,4600,4097.44,4081.03,4068.21,4066.15,4063.08,4093.33,0
19_54_30,88,4085.13,4083.08,4081.03,4089.74,4094.36,4116.41,4112.82,4591.28,4108.21,4094.87,4086.15,4072.31,4074.87,4099.49,0
19_54_30,89,4102.56,4113.33,4089.74,4103.59,4113.33,4121.54,4117.95,4589.74,4122.05,4110.77,4117.44,4081.03,4101.03,4117.44,0
19_54_30,90,4108.72,4120,4095.9,4113.85,4118.97,4136.41,4128.21,4590.77,4129.74,4114.36,4127.18,4083.08,4122.56,4132.31,0
19_54_30,91,4106.15,4107.18,4097.95,4118.97,4112.31,4146.67,4135.38,4585.13,4132.31,4113.33,4115.38,4083.59,4113.33,4134.87,0
19_54_30,92,4103.08,4096.92,4092.31,4125.64,4111.79,4138.46,4126.15,4568.72,4126.67,4105.64,4107.18,4076.41,4096.41,4125.13,0
19_54_30,93,4099.49,4091.79,4086.15,4120,4108.21,4122.56,4116.92,4555.9,4123.08,4098.46,4102.56,4066.15,4099.49,4115.38,0
19_54_30,94,4098.46,4103.08,4085.13,4108.72,4103.59,4128.72,4128.21,4553.33,4121.54,4103.08,4098.46,4067.69,4104.62,4116.41,0
19_54_30,95,4099.49,4110.26,4083.08,4108.72,4104.1,4138.46,4144.1,4549.23,4121.03,4106.67,4097.95,4068.72,4107.18,4117.95,0
19_54_30,96,4093.33,4099.49,4077.95,4111.28,4106.15,4125.13,4134.36,4533.85,4118.97,4097.44,4093.33,4060.51,4105.64,4109.74,0
19_54_30,97,4090.77,4105.13,4076.41,4116.92,4114.87,4123.08,4119.49,4521.03,4113.85,4095.9,4086.67,4054.36,4095.9,4107.18,0
19_54_30,98,4096.92,4113.33,4082.56,4120.51,4118.97,4139.49,4122.05,4522.05,4116.92,4100.51,4083.59,4065.64,4088.72,4115.38,0
19_54_30,99,4088.72,4097.44,4078.46,4112.31,4104.1,4131.28,4126.67,4514.36,4123.08,4096.41,4084.1,4066.67,4096.41,4113.85,0
19_54_30,100,4077.95,4090.77,4078.97,4104.62,4090.77,4120,4121.54,4505.64,4121.54,4097.95,4091.79,4066.67,4108.21,4110.77,0
19_54_30,101,4083.08,4106.15,4078.97,4102.56,4098.97,4131.28,4123.08,4504.62,4122.56,4108.21,4103.08,4064.1,4106.67,4111.79,0
19_54_30,102,4101.03,4115.9,4085.64,4110.26,4116.92,4135.9,4141.03,4510.26,4136.92,4118.97,4109.23,4070.77,4107.69,4120.51,0
19_54_30,103,4102.05,4114.36,4083.08,4118.46,4118.97,4138.46,4141.03,4509.23,4142.56,4127.18,4109.23,4066.67,4119.49,4122.56,0
19_54_31,104,4089.23,4103.08,4079.49,4118.46,4111.79,4141.03,4126.15,4496.41,4131.79,4122.56,4104.1,4064.62,4116.41,4113.85,0
19_54_31,105,4086.15,4095.38,4076.92,4116.92,4110.26,4130.26,4127.18,4483.08,4121.54,4111.79,4103.59,4063.08,4100.51,4111.28,0
19_54_31,106,4081.54,4085.13,4072.82,4108.72,4094.36,4111.28,4122.56,4463.59,4095.38,4088.72,4096.92,4058.97,4086.15,4103.08,0
19_54_31,107,4067.18,4069.23,4060.51,4093.33,4074.36,4104.1,4106.67,4446.15,4082.56,4071.79,4077.44,4046.67,4078.97,4083.08,0
19_54_31,108,4076.41,4080.51,4069.23,4097.95,4087.69,4123.08,4116.92,4449.74,4109.23,4090.26,4084.62,4054.87,4089.23,4086.15,0
19_54_31,109,4097.95,4097.95,4083.59,4118.46,4109.74,4149.23,4136.41,4461.03,4132.82,4114.36,4118.46,4067.69,4106.67,4104.1,0
19_54_31,110,4081.54,4071.79,4073.33,4101.03,4087.18,4125.64,4118.46,4440.51,4110.26,4097.44,4110.26,4060.51,4087.69,4087.18,0
19_54_31,111,4057.44,4059.49,4062.56,4078.46,4066.15,4084.62,4102.05,4417.44,4088.72,4081.54,4076.92,4054.36,4069.74,4069.74,0
19_54_31,112,4079.49,4097.95,4080,4102.56,4089.74,4100.51,4121.54,4430.77,4107.18,4103.59,4090.77,4069.23,4102.56,4090.77,0
19_54_31,113,4110.26,4108.72,4095.38,4128.72,4109.74,4127.18,4138.97,4442.56,4125.13,4120.51,4122.56,4084.1,4132.82,4110.26,0
19_54_31,114,4115.38,4092.31,4095.9,4128.72,4110.77,4130.77,4139.49,4435.9,4131.79,4129.23,4128.21,4086.15,4129.74,4114.87,0
19_54_31,115,4107.69,4098.46,4091.79,4117.95,4113.85,4132.31,4136.92,4426.67,4132.82,4130.26,4120.51,4083.08,4124.62,4112.31,0
19_54_31,116,4104.1,4125.13,4085.13,4113.33,4111.28,4136.41,4140.51,4418.97,4129.23,4120,4119.49,4075.9,4126.15,4103.59,0
19_54_31,117,4088.72,4108.72,4080,4103.08,4085.13,4117.44,4135.9,4399.49,4110.26,4100.51,4100.51,4070.77,4100.51,4085.64,0
19_54_31,118,4055.9,4047.69,4061.03,4091.28,4060,4085.13,4120,4377.95,4090.77,4080.51,4066.15,4054.36,4064.62,4065.13,0
19_54_31,119,4047.18,4046.15,4053.85,4093.33,4066.67,4077.44,4117.44,4374.87,4098.46,4083.59,4057.44,4053.85,4069.74,4062.56,0
19_54_31,120,4066.67,4104.62,4064.62,4096.92,4084.1,4099.49,4129.23,4382.05,4114.36,4104.62,4075.9,4062.56,4092.82,4074.87,0
19_54_31,121,4086.15,4114.36,4083.59,4102.05,4088.72,4114.87,4131.28,4386.67,4113.33,4111.28,4099.49,4079.49,4101.03,4089.74,0
19_54_31,122,4090.26,4074.36,4083.59,4110.26,4081.54,4104.1,4121.03,4383.08,4105.64,4105.64,4114.36,4081.54,4103.08,4097.44,0
19_54_31,123,4092.82,4065.13,4083.08,4114.36,4074.87,4088.72,4118.97,4375.38,4115.38,4112.31,4117.95,4081.03,4107.18,4102.05,0
19_54_31,124,4104.1,4096.92,4089.74,4120,4086.15,4092.31,4127.69,4372.82,4127.18,4121.03,4124.1,4083.08,4115.9,4108.21,0
19_54_31,125,4107.69,4118.46,4097.44,4120.51,4090.26,4095.9,4123.59,4371.79,4117.95,4107.69,4132.82,4090.26,4118.97,4109.74,0
19_54_31,126,4097.44,4104.1,4093.33,4104.1,4077.95,4089.23,4113.85,4361.54,4115.38,4107.69,4133.33,4088.21,4111.28,4104.1,0
19_54_31,127,4097.44,4076.41,4092.82,4097.44,4075.38,4085.64,4115.9,4343.08,4118.97,4121.54,4122.56,4084.1,4099.49,4100.51,0
19_54_31,128,4101.03,4080.51,4091.28,4109.23,4077.95,4087.18,4113.85,4329.23,4097.95,4107.69,4106.67,4078.97,4097.44,4097.44,0
19_54_31,0,4092.82,4091.28,4084.62,4103.08,4060.51,4085.13,4106.15,4322.56,4074.87,4077.44,4093.85,4074.36,4091.79,4088.72,0
19_54_31,1,4085.64,4089.23,4080.51,4085.64,4058.46,4091.28,4112.82,4325.64,4092.82,4088.21,4096.92,4074.87,4080,4083.08,0
19_54_31,2,4074.36,4084.1,4073.85,4082.05,4074.87,4091.79,4113.85,4322.05,4109.74,4102.05,4092.82,4071.28,4077.95,4073.33,0
19_54_31,3,4053.85,4066.67,4062.05,4078.46,4060,4065.13,4096.41,4300,4081.54,4072.31,4069.23,4060,4070.77,4054.36,0
19_54_31,4,4062.05,4078.97,4068.21,4085.64,4058.46,4075.38,4105.13,4300.51,4072.31,4072.82,4082.56,4062.05,4069.23,4064.62,0
19_54_31,5,4105.13,4128.21,4098.46,4115.9,4102.56,4134.36,4142.05,4331.79,4120.51,4129.23,4130.77,4089.23,4102.56,4106.67,0
19_54_31,6,4110.26,4115.9,4093.85,4118.97,4102.56,4123.08,4143.59,4324.1,4128.72,4130.77,4118.46,4084.62,4118.46,4105.13,0
19_54_32,54,3897.44,4223.08,4137.95,4106.67,3894.36,3892.82,4218.97,4000,4309.74,4124.1,5310.26,4132.82,4216.92,4271.79,0
19_54_32,55,3895.9,4219.49,4140.51,4108.21,3904.62,3898.97,4228.21,4007.18,4306.15,4118.46,5266.15,4136.41,4211.28,4272.31,0
19_54_32,56,3898.97,4219.49,4141.03,4108.72,3909.23,3897.44,4232.31,4011.79,4320.51,4124.1,5240,4147.18,4212.31,4277.44,0
19_54_32,57,3907.18,4220.51,4149.74,4113.33,3915.9,3911.79,4234.36,4017.44,4332.31,4143.08,5202.05,4155.9,4216.92,4289.23,0
19_54_32,58,3902.05,4206.67,4147.69,4106.15,3910.26,3909.23,4235.9,4020,4315.38,4138.46,5122.05,4153.33,4220,4288.21,0
19_54_32,59,3895.38,4208.21,4133.85,4102.56,3902.56,3892.31,4234.87,4018.46,4311.79,4124.62,5065.13,4145.13,4233.85,4282.05,0
19_54_32,60,3910.77,4232.31,4140.51,4120.51,3922.56,3908.72,4235.38,4019.49,4334.36,4135.38,5053.85,4151.79,4251.28,4294.87,0
19_54_32,61,3923.59,4246.67,4146.15,4125.64,3937.44,3920.51,4236.92,4021.03,4338.97,4148.21,5023.08,4154.36,4248.21,4304.62,0
19_54_32,62,3920,4255.9,4144.1,4116.92,3928.72,3896.41,4236.41,4024.62,4324.1,4150.26,4966.67,4159.49,4248.72,4302.56,0
19_54_32,63,3913.33,4265.64,4141.03,4114.87,3925.64,3885.64,4230.77,4025.13,4322.56,4153.85,4920.51,4156.92,4267.69,4304.1,0
19_54_32,64,3898.46,4247.69,4139.49,4106.15,3918.46,3877.95,4218.97,4009.74,4315.9,4144.1,4867.69,4150.77,4266.15,4297.44,0
19_54_32,65,3889.74,4238.46,4133.33,4102.56,3913.33,3856.92,4214.87,3998.97,4305.13,4137.95,4814.87,4144.62,4253.85,4290.26,0
19_54_32,66,3905.13,4263.59,4145.13,4118.46,3932.31,3875.9,4229.74,4013.33,4317.44,4151.28,4789.74,4155.9,4262.05,4303.08,0
19_54_32,67,3922.56,4281.03,4154.87,4131.79,3954.87,3915.38,4249.74,4031.79,4338.97,4162.05,4769.74,4163.59,4274.36,4320.51,0
19_54_32,68,3939.49,4287.69,4164.62,4144.1,3971.28,3928.21,4263.08,4040,4351.28,4173.85,4753.85,4176.41,4285.13,4334.36,0
19_54_32,69,3945.64,4285.13,4164.62,4160.51,3979.49,3931.28,4258.46,4039.49,4346.67,4184.62,4728.72,4172.82,4291.28,4338.46,0
19_54_32,70,3916.41,4254.36,4143.59,4143.59,3946.67,3902.05,4229.23,4013.33,4309.74,4155.38,4657.44,4144.1,4252.82,4307.18,0
19_54_32,89,3924.62,4213.33,4116.92,4105.64,3975.9,3900,4221.03,4024.1,4293.85,4156.92,4137.44,4131.79,4233.33,4283.08,0
19_54_32,90,3911.28,4206.15,4097.95,4098.97,3982.56,3893.33,4213.33,4021.54,4299.49,4162.56,4115.38,4113.85,4245.64,4275.38,0
19_54_32,91,3907.18,4221.03,4083.08,4104.1,3994.36,3886.67,4214.87,4018.97,4296.92,4161.03,4103.59,4097.95,4238.46,4270.77,0
19_54_32,92,3909.23,4229.74,4074.87,4102.56,3998.46,3888.72,4207.69,4014.36,4278.97,4157.95,4085.13,4090.26,4218.46,4264.1,0
19_54_32,93,3894.36,4210.26,4056.41,4089.74,3987.69,3886.15,4193.85,4002.56,4255.9,4149.23,4050.26,4061.03,4207.18,4248.72,0
19_54_32,94,3896.92,4183.08,4097.44,4090.26,3968.72,3867.18,4189.23,3987.69,4228.21,4124.1,4013.85,4100,4185.64,4241.03,0
19_54_32,95,3900,4161.03,4095.38,4087.69,3965.64,3860.51,4181.03,3982.05,4205.64,4105.13,3997.95,4106.15,4148.21,4230.26,0
19_54_33,96,3877.44,4154.36,3998.46,4060.51,3978.97,3872.31,4161.03,3983.59,4206.67,4110.77,3989.23,3974.87,4139.49,4205.13,0
19_54_33,97,3896.41,4147.69,4088.72,4045.13,3957.44,3847.18,4152.82,3976.41,4187.18,4088.21,3936.92,4071.79,4132.31,4205.64,0
19_54_33,98,3923.59,4148.72,4150.26,4054.87,3952.31,3835.38,4161.03,3979.49,4175.9,4080,3897.44,4166.67,4129.74,4212.31,0
19_54_33,99,3923.59,4163.59,4077.95,4074.87,3980,3857.44,4171.79,4001.03,4191.28,4109.23,3901.54,4093.33,4140,4209.23,0
19_54_33,100,3919.49,4189.23,4029.74,4090.26,4001.03,3881.54,4176.92,4011.28,4208.72,4129.74,3907.18,4024.62,4163.08,4206.15,0
