TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
12_0_16,83,3920.51,4166.67,4055.9,4058.97,4130.77,4149.74,3995.9,4075.9,4110.77,4188.21,4136.41,4201.54,4104.62,4510.77,0
12_0_16,84,3918.97,4175.38,4036.92,4067.18,4134.36,4152.82,3978.46,4094.36,4133.85,4194.87,4150.26,4209.23,4104.1,4513.85,0
12_0_16,85,3904.1,4167.69,4010.77,4062.56,4139.49,4155.38,3957.95,4094.36,4139.49,4199.49,4147.18,4200,4100.51,4500.51,0
12_0_16,86,3894.87,4163.59,3993.33,4056.41,4136.41,4151.28,3944.1,4095.38,4126.67,4188.72,4133.33,4189.23,4094.36,4486.67,0
12_0_16,87,3905.13,4169.23,3996.41,4066.15,4134.87,4152.31,3938.97,4107.18,4124.62,4182.56,4137.95,4196.41,4101.54,4491.79,0
12_0_16,88,3907.18,4162.05,4005.13,4070.77,4134.36,4155.9,3932.31,4105.64,4131.28,4187.69,4143.59,4204.1,4110.26,4492.31,0
12_0_16,89,3897.95,4152.82,4007.69,4058.97,4135.38,4152.31,3928.21,4091.79,4124.1,4184.1,4130.26,4201.03,4111.28,4472.82,0
12_0_16,90,3904.62,4159.49,4021.54,4061.54,4136.92,4154.36,3950.77,4087.18,4115.9,4165.13,4123.59,4207.18,4123.59,4464.1,0
12_0_16,91,3915.9,4166.15,4041.03,4076.92,4138.97,4161.03,3996.41,4093.33,4121.54,4155.9,4131.79,4218.97,4155.9,4468.21,0
12_0_16,92,3911.28,4161.03,4048.21,4073.33,4143.08,4156.41,4035.9,4088.72,4114.36,4155.9,4131.28,4221.03,4195.38,4457.44,0
12_0_16,93,3913.33,4155.38,4048.72,4060.51,4136.92,4147.69,4062.05,4077.44,4100.51,4152.31,4131.28,4223.59,4235.38,4442.56,0
12_0_16,94,3925.64,4158.97,4056.92,4058.97,4125.64,4152.31,4089.74,4077.95,4108.72,4152.82,4137.44,4232.31,4265.64,4443.08,0
12_0_16,95,3928.72,4163.08,4067.18,4060.51,4125.13,4155.38,4108.21,4089.74,4121.54,4166.15,4145.64,4238.97,4283.08,4445.64,0
12_0_16,96,3928.21,4158.97,4071.28,4057.95,4126.15,4144.62,4098.46,4094.36,4124.62,4176.92,4159.49,4241.54,4291.79,4439.49,0
12_0_16,97,3924.62,4151.28,4075.9,4046.15,4116.92,4136.92,4084.1,4081.03,4121.03,4154.87,4157.95,4235.38,4282.56,4426.67,0
12_0_16,98,3928.72,4152.82,4086.15,4035.38,4118.97,4140.51,4079.49,4075.38,4117.95,4126.67,4145.64,4232.82,4271.79,4415.38,0
12_0_16,99,3940.51,4155.9,4101.03,4036.41,4133.85,4143.59,4069.74,4084.62,4111.79,4121.03,4145.64,4243.59,4271.28,4412.82,0
