TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
15_5_33,14,3654.36,3654.87,3654.36,3652.31,3651.28,3650.26,3654.87,3654.87,3656.92,3666.15,3662.05,3732.31,3656.92,3666.67,0
15_5_33,15,3650.26,3650.26,3650.77,3649.74,3648.72,3648.72,3650.26,3650.77,3659.49,3667.18,3662.56,3735.9,3654.87,3655.9,0
15_5_33,16,3652.82,3654.36,3653.33,3653.33,3651.28,3651.28,3653.85,3654.36,3669.74,3664.62,3669.23,3738.97,3654.87,3660,0
15_5_33,17,3653.33,3653.85,3651.79,3649.74,3648.21,3648.72,3653.85,3651.79,3667.69,3663.08,3666.15,3740.51,3653.85,3667.18,0
15_5_33,18,3653.33,3652.31,3653.33,3651.28,3651.79,3652.31,3653.85,3652.82,3660,3668.21,3666.15,3749.23,3664.1,3667.69,0
15_5_33,19,3650.26,3655.9,3652.31,3652.31,3651.79,3650.77,3654.36,3651.79,3653.85,3666.67,3667.18,3752.82,3662.56,3664.1,0
15_5_33,20,3652.31,3662.05,3653.33,3652.31,3651.28,3651.79,3657.95,3652.31,3661.03,3664.62,3667.18,3755.9,3652.31,3666.67,0
15_5_33,21,3652.82,3660.51,3653.85,3651.79,3651.28,3651.28,3656.41,3654.87,3668.72,3666.15,3667.69,3763.59,3651.28,3663.59,0
15_5_33,22,3651.79,3658.46,3653.85,3652.31,3651.28,3649.74,3651.28,3652.31,3666.15,3668.72,3667.69,3770.26,3656.92,3663.59,0
15_5_33,23,3652.82,3663.08,3651.28,3652.82,3651.79,3651.28,3652.31,3653.85,3665.64,3667.18,3666.15,3769.74,3660,3667.69,0
15_5_33,24,3652.82,3664.1,3653.85,3651.79,3653.85,3652.31,3655.38,3661.54,3668.21,3666.67,3666.15,3769.23,3665.13,3666.67,0
15_5_33,25,3651.28,3660,3657.44,3652.31,3652.82,3653.33,3655.38,3660,3667.69,3667.18,3666.67,3778.46,3668.21,3666.67,0
15_5_33,26,3652.82,3660,3654.87,3653.33,3650.77,3650.77,3650.77,3652.31,3667.18,3666.67,3667.18,3786.15,3666.15,3666.67,0
15_5_33,27,3655.38,3662.56,3654.36,3652.82,3651.28,3651.28,3651.79,3654.36,3666.67,3667.69,3667.69,3784.1,3666.15,3666.15,0
15_5_33,28,3654.36,3666.15,3657.95,3652.82,3652.82,3655.9,3658.97,3654.36,3665.64,3668.21,3668.72,3786.15,3666.15,3667.18,0
15_5_33,29,3652.31,3664.1,3660,3652.82,3653.33,3655.9,3658.97,3652.31,3666.67,3667.69,3668.21,3797.44,3664.1,3667.18,0
15_5_33,30,3653.33,3662.05,3660,3652.31,3652.31,3653.85,3655.9,3659.49,3668.21,3667.69,3667.69,3802.56,3665.64,3666.15,0
15_5_33,31,3653.33,3666.15,3663.59,3654.87,3653.85,3656.41,3657.95,3662.05,3668.21,3668.21,3667.69,3800.51,3667.69,3668.72,0
15_5_33,32,3653.33,3667.18,3662.05,3653.85,3652.82,3660,3662.05,3659.49,3666.67,3669.23,3667.69,3806.67,3667.18,3669.74,0
15_5_33,33,3653.85,3666.15,3660,3652.31,3653.33,3656.92,3663.59,3661.03,3666.67,3669.23,3668.72,3815.38,3666.67,3667.18,0
15_5_33,34,3650.77,3667.18,3663.08,3661.03,3658.97,3655.38,3664.62,3662.05,3669.23,3668.72,3668.72,3818.46,3667.18,3666.15,0
15_5_33,35,3654.87,3667.18,3666.67,3663.59,3657.44,3656.41,3663.59,3664.1,3668.72,3669.23,3668.21,3817.44,3667.18,3668.21,0
15_5_33,36,3666.67,3663.59,3665.13,3653.85,3656.92,3658.97,3665.64,3668.72,3666.15,3669.74,3668.21,3817.95,3667.18,3669.23,0
15_5_33,37,3662.05,3665.13,3660.51,3650.77,3660.51,3661.03,3664.1,3667.69,3667.69,3669.74,3668.72,3825.64,3667.18,3667.69,0
