TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
15_12_41,5,4243.59,4224.62,4244.1,4244.1,4242.56,4236.41,4226.15,4235.38,4225.64,4242.05,4234.36,4254.87,4240,4238.46,0
15_12_41,6,4411.79,4328.21,4414.36,4426.15,4423.08,4396.41,4338.46,4375.38,4325.64,4353.33,4353.85,4429.23,4372.31,4329.23,0
15_12_41,7,3402.05,3728.72,3392.31,3357.44,3371.28,3484.1,3692.82,3543.08,3729.74,3538.97,3607.18,3291.79,3528.21,3655.38,0
15_12_41,8,1717.44,2713.85,1681.54,1556.92,1595.9,1939.49,2601.54,2148.72,2726.67,2274.87,2371.28,1435.38,2142.56,2596.41,0
15_12_41,9,1267.18,2436.92,1224.62,1071.28,1119.49,1524.1,2310.77,1774.36,2453.33,1989.23,2042.05,951.282,1780.51,2328.72,0
15_12_41,10,1668.21,2679.49,1636.92,1504.1,1547.69,1895.38,2572.82,2105.13,2691.28,2296.92,2331.28,1387.18,2109.23,2569.23,0
15_12_41,11,1597.95,2638.97,1568.72,1439.49,1478.97,1832.82,2524.62,2049.74,2653.85,2225.13,2274.87,1304.62,2047.18,2515.38,0
15_12_41,12,1464.1,2552.82,1430.77,1297.44,1335.38,1706.15,2432.31,1941.03,2570.26,2129.23,2176.41,1167.18,1938.46,2444.1,0
15_12_41,13,1628.21,2646.67,1597.44,1469.74,1506.67,1856.92,2537.44,2072.82,2661.54,2252.31,2292.31,1337.95,2069.74,2537.95,0
15_12_41,14,1650.77,2657.95,1623.08,1493.85,1530.26,1877.44,2549.23,2087.18,2675.9,2262.56,2304.62,1352.31,2090.26,2545.64,0
15_12_41,15,1639.49,2646.67,1605.13,1480,1516.92,1863.59,2538.46,2072.82,2660.51,2249.74,2293.33,1335.9,2076.41,2533.85,0
15_12_41,16,1661.03,2655.38,1629.23,1497.95,1535.9,1876.92,2546.67,2087.69,2658.46,2264.1,2311.28,1372.31,2089.23,2549.74,0
15_12_41,17,1653.33,2650.26,1636.41,1491.28,1528.72,1871.28,2539.49,2081.54,2656.92,2267.69,2308.21,1376.41,2085.13,2548.72,0
15_12_41,18,1660.51,2653.85,1647.69,1502.56,1542.56,1884.62,2544.62,2091.28,2669.23,2272.31,2311.79,1378.97,2090.77,2545.13,0
15_12_41,19,1667.18,2651.28,1640,1503.08,1547.69,1882.56,2541.03,2098.97,2664.62,2265.13,2308.21,1374.36,2090.77,2542.05,0
15_12_41,20,1676.92,2652.31,1644.62,1513.33,1557.95,1881.54,2541.54,2106.15,2663.59,2269.74,2308.72,1383.59,2097.95,2548.72,0
15_12_41,21,1671.79,2652.31,1653.85,1520.51,1560.51,1888.72,2543.59,2102.56,2667.18,2271.28,2313.85,1387.18,2101.54,2547.18,0
15_12_41,22,1676.41,2652.31,1657.44,1522.56,1564.62,1898.97,2545.13,2100.51,2666.15,2270.77,2319.49,1389.23,2102.56,2546.15,0
15_12_41,23,1687.18,2652.82,1656.41,1528.21,1576.92,1901.54,2545.13,2105.13,2664.1,2270.77,2318.97,1396.41,2108.21,2549.74,0
15_12_41,24,1691.28,2652.31,1661.54,1533.85,1580.51,1898.46,2544.1,2104.1,2667.69,2270.77,2318.97,1403.59,2112.82,2549.74,0
15_12_41,25,1693.33,2652.82,1672.82,1540,1582.05,1903.08,2546.15,2108.21,2664.62,2278.97,2321.54,1410.26,2111.28,2548.21,0
15_12_41,26,1694.87,2652.31,1679.49,1545.64,1590.77,1910.26,2549.23,2120.51,2655.38,2287.18,2322.56,1415.38,2113.85,2552.31,0
15_12_41,27,1697.95,2652.82,1684.1,1551.79,1597.44,1911.79,2550.77,2123.08,2658.46,2286.15,2323.59,1415.38,2123.08,2552.31,0
15_12_41,28,1703.59,2652.82,1689.23,1556.41,1598.97,1912.82,2547.69,2117.95,2668.72,2285.13,2324.1,1421.03,2127.69,2551.79,0
15_12_41,29,1711.79,2651.28,1689.74,1560.51,1608.72,1918.97,2546.15,2123.08,2669.23,2287.18,2323.59,1429.74,2124.1,2553.33,0
15_12_41,30,1719.49,2649.23,1692.31,1567.18,1616.41,1924.62,2548.21,2130.77,2666.15,2287.69,2326.67,1432.31,2125.64,2554.36,0
15_12_41,31,1722.05,2650.26,1698.97,1575.9,1617.95,1927.18,2549.74,2131.79,2667.69,2287.18,2330.77,1432.31,2130.26,2552.31,0
15_12_41,32,1719.49,2651.79,1703.59,1582.05,1621.03,1929.23,2549.23,2134.36,2668.21,2285.64,2330.77,1439.49,2132.31,2552.31,0
15_12_41,33,1725.64,2651.28,1711.79,1584.1,1626.67,1931.79,2549.74,2138.46,2666.67,2290.26,2330.77,1447.69,2135.9,2555.38,0
15_12_41,34,1738.46,2652.31,1717.95,1590.26,1633.33,1935.38,2550.26,2139.49,2667.69,2298.97,2330.77,1451.79,2140.51,2557.44,0
15_12_41,35,1738.97,2652.82,1715.38,1595.38,1641.03,1938.97,2548.72,2137.95,2668.72,2301.54,2330.26,1449.23,2140.51,2555.38,0
15_12_41,36,1739.49,2652.82,1715.9,1598.46,1647.69,1941.54,2551.28,2135.38,2665.64,2301.03,2331.79,1449.74,2141.03,2553.85,0
15_12_41,37,1749.23,2652.31,1726.67,1605.13,1647.18,1946.67,2554.87,2140,2657.95,2303.08,2338.97,1464.62,2149.23,2556.92,0
15_12_41,38,1753.33,2651.79,1735.38,1609.74,1646.15,1948.72,2553.33,2150.77,2656.92,2302.56,2341.54,1474.36,2154.36,2560.51,0
15_12_41,39,1753.85,2651.79,1738.97,1615.9,1652.82,1949.23,2552.82,2156.41,2663.59,2300.51,2339.49,1467.18,2151.79,2559.49,0
15_12_41,40,1760.51,2652.31,1744.1,1624.62,1664.1,1955.9,2557.95,2155.9,2667.69,2304.1,2342.05,1466.15,2155.38,2556.41,0
15_12_41,41,1766.67,2652.31,1751.79,1626.67,1671.79,1964.1,2558.46,2158.46,2667.18,2306.15,2345.13,1476.41,2163.08,2558.46,0
15_12_41,42,1766.67,2652.82,1757.44,1626.15,1676.41,1966.67,2555.9,2164.62,2666.67,2303.08,2345.13,1482.05,2160.51,2560,0
15_12_41,43,1770.77,2653.85,1760,1634.36,1681.03,1965.13,2557.95,2169.74,2667.18,2307.18,2347.69,1487.18,2160.51,2560.51,0
15_12_41,44,1781.03,2654.36,1763.59,1641.03,1688.72,1968.21,2558.46,2167.69,2668.21,2317.95,2349.23,1493.33,2168.72,2560.51,0
15_12_41,45,1785.64,2653.85,1768.72,1645.64,1694.36,1975.38,2556.41,2167.18,2667.69,2320.51,2350.26,1498.46,2171.79,2562.56,0
15_12_41,46,1785.13,2652.82,1772.31,1656.41,1695.9,1980,2560,2176.41,2667.18,2316.41,2349.74,1503.59,2170.77,2561.03,0
15_12_41,47,1789.23,2652.31,1775.38,1660,1698.97,1978.97,2560.51,2178.46,2667.18,2316.92,2350.26,1510.26,2175.9,2563.08,0
15_12_41,48,1795.9,2652.82,1778.97,1656.92,1705.13,1981.54,2556.92,2175.9,2668.21,2320,2356.41,1512.31,2178.97,2565.64,0
15_12_41,49,1799.49,2652.31,1787.18,1663.59,1712.31,1987.18,2557.44,2181.54,2668.72,2320.51,2359.49,1514.36,2178.46,2565.64,0
15_12_41,50,1801.54,2652.31,1794.36,1672.82,1718.97,1990.77,2558.46,2185.64,2667.18,2319.49,2356.41,1517.44,2182.05,2565.13,0
15_12_41,51,1805.13,2653.85,1798.97,1675.9,1724.1,1993.85,2556.41,2185.13,2667.69,2318.46,2355.9,1522.56,2185.64,2567.69,0
15_12_41,52,1811.28,2654.87,1798.97,1684.62,1728.21,1996.41,2557.44,2191.28,2668.72,2326.67,2360.51,1528.72,2188.21,2570.77,0
15_12_41,53,1818.46,2653.85,1801.54,1691.79,1730.26,1999.49,2561.03,2193.85,2668.72,2335.38,2360.51,1532.82,2192.82,2569.74,0
15_12_41,54,1819.49,2652.31,1809.74,1687.18,1734.36,2003.08,2562.05,2191.79,2669.23,2333.85,2358.97,1535.38,2194.87,2569.23,0
15_12_41,55,1820,2653.33,1816.41,1691.28,1741.54,2006.67,2563.08,2201.03,2669.74,2333.33,2360.51,1540,2194.36,2569.74,0
15_12_41,56,1828.72,2654.36,1814.36,1704.62,1748.21,2009.23,2562.05,2209.23,2668.72,2336.92,2363.59,1542.05,2196.92,2566.67,0
15_12_41,57,1835.38,2653.33,1815.9,1705.13,1754.87,2014.87,2564.1,2204.62,2668.21,2336.92,2365.64,1544.1,2201.03,2565.13,0
15_12_41,58,1834.36,2651.28,1830.26,1707.18,1761.03,2018.46,2566.67,2204.1,2668.21,2335.9,2370.26,1556.41,2204.62,2572.31,0
15_12_41,59,1833.33,2653.33,1837.44,1720.51,1763.59,2019.49,2567.18,2208.72,2668.21,2336.41,2374.36,1562.05,2207.18,2575.38,0
15_12_41,60,1842.05,2656.41,1835.38,1722.56,1766.15,2022.56,2567.18,2207.18,2668.21,2338.46,2372.82,1557.44,2210.77,2572.82,0
15_12_41,61,1853.33,2654.36,1842.05,1717.95,1774.36,2027.18,2569.74,2210.77,2668.21,2344.1,2371.79,1558.97,2214.36,2572.31,0
15_12_41,62,1856.41,2652.82,1847.69,1727.69,1778.97,2028.21,2568.21,2221.03,2668.21,2348.72,2372.82,1566.67,2216.92,2575.9,0
15_12_41,63,1854.87,2654.36,1847.18,1738.97,1779.49,2027.18,2567.18,2223.08,2668.72,2349.74,2374.87,1570.77,2217.44,2576.41,0
15_12_41,64,1859.49,2653.85,1853.85,1735.9,1784.62,2032.31,2570.26,2218.97,2669.74,2352.31,2378.97,1576.92,2221.03,2576.41,0
15_12_41,65,1868.21,2654.36,1861.54,1738.46,1793.33,2040,2569.74,2224.62,2670.26,2351.79,2378.97,1583.08,2225.13,2574.87,0
15_12_41,66,1872.82,2655.9,1862.05,1749.74,1797.44,2041.03,2569.74,2235.38,2671.28,2352.31,2378.97,1588.72,2227.69,2575.38,0
15_12_41,67,1870.77,2654.87,1864.1,1754.87,1798.97,2042.05,2572.82,2237.44,2672.31,2355.9,2383.08,1593.33,2229.23,2578.46,0
15_12_41,68,1870.26,2653.85,1871.28,1757.44,1805.64,2049.23,2571.28,2236.41,2671.79,2355.9,2385.13,1597.44,2231.28,2582.56,0
15_12_41,69,1876.41,2654.87,1876.41,1764.62,1811.79,2054.87,2570.77,2236.92,2670.26,2357.95,2384.62,1599.49,2233.85,2581.54,0
15_12_41,70,1885.64,2656.41,1884.62,1767.69,1812.82,2053.85,2575.38,2236.92,2671.28,2364.62,2387.18,1598.46,2235.9,2580.51,0
15_12_41,71,1887.69,2657.44,1889.23,1767.69,1815.38,2056.92,2577.44,2240.51,2672.82,2367.18,2390.77,1600.51,2238.46,2582.56,0
15_12_41,72,1886.15,2655.9,1884.62,1775.9,1822.56,2062.56,2572.82,2242.56,2671.28,2367.69,2392.31,1610.26,2243.59,2583.08,0
15_12_41,73,1892.82,2654.87,1887.69,1785.64,1829.74,2064.62,2573.85,2243.08,2670.77,2369.74,2391.28,1615.38,2248.21,2581.03,0
15_12_41,74,1901.03,2657.95,1897.95,1786.15,1832.82,2066.67,2576.92,2250.26,2672.31,2368.72,2392.31,1612.31,2248.72,2580.51,0
15_12_41,75,1900.51,2657.44,1901.03,1786.67,1834.36,2069.74,2577.44,2256.41,2671.79,2368.21,2393.33,1618.46,2250.26,2583.59,0
15_12_41,76,1902.05,2655.9,1900,1794.87,1839.49,2075.38,2576.41,2251.79,2672.31,2373.85,2393.85,1626.67,2249.74,2584.62,0
15_12_41,77,1912.31,2657.44,1904.1,1805.13,1847.18,2080,2575.9,2251.79,2671.28,2378.46,2395.38,1624.62,2250.26,2583.08,0
15_12_41,78,1918.46,2658.46,1910.77,1809.23,1855.9,2081.03,2578.46,2255.9,2669.74,2380,2394.87,1625.13,2255.9,2584.1,0
15_12_41,79,1918.46,2656.41,1923.08,1806.15,1858.46,2082.05,2577.95,2254.87,2677.44,2381.54,2398.46,1638.97,2262.56,2590.26,0
15_12_41,80,1926.15,2657.95,1930.26,1807.18,1856.92,2088.21,2578.46,2262.56,2683.08,2383.59,2405.64,1644.1,2265.13,2593.33,0
15_12_41,81,1935.38,2663.08,1925.13,1814.87,1861.03,2091.28,2581.54,2271.79,2674.87,2383.59,2407.18,1638.97,2266.15,2591.28,0
15_12_41,82,1934.87,2665.13,1925.64,1821.03,1868.72,2091.79,2585.13,2269.74,2669.74,2384.1,2406.67,1640.51,2265.64,2588.72,0
15_12_41,83,1932.82,2665.13,1935.38,1825.13,1870.77,2093.85,2584.62,2269.74,2678.46,2387.18,2407.69,1648.72,2267.18,2591.28,0
15_12_41,84,1938.46,2667.69,1936.92,1830.77,1872.31,2096.41,2584.1,2272.31,2684.62,2389.74,2407.18,1654.36,2272.31,2591.79,0
15_12_41,85,1944.62,2670.77,1937.44,1834.36,1877.95,2099.49,2588.21,2270.77,2682.05,2391.79,2409.23,1662.56,2277.95,2592.31,0
15_12_41,86,1947.69,2663.08,1944.62,1836.92,1885.64,2105.64,2586.67,2277.44,2681.54,2389.74,2411.79,1669.23,2276.41,2594.36,0
15_12_41,87,1949.74,2657.95,1950.26,1844.62,1892.31,2110.77,2582.56,2287.69,2683.59,2388.72,2410.77,1669.74,2277.44,2596.92,0
15_12_41,88,1955.38,2665.64,1952.82,1853.85,1894.36,2112.82,2586.67,2285.64,2684.1,2393.85,2415.38,1672.31,2285.64,2596.92,0
15_12_42,89,1963.59,2670.26,1955.38,1855.9,1894.87,2114.36,2591.28,2283.59,2682.05,2400,2421.54,1675.9,2289.74,2596.92,0
15_12_42,90,1966.67,2668.21,1959.49,1852.82,1900,2118.46,2589.74,2286.67,2682.05,2401.03,2421.03,1674.87,2288.72,2598.97,0
15_12_42,91,1965.64,2667.18,1966.15,1857.95,1906.15,2123.59,2590.77,2285.64,2685.13,2403.08,2420.51,1677.95,2290.26,2598.46,0
15_12_42,92,1966.67,2669.23,1969.23,1870.26,1913.33,2124.62,2593.85,2289.74,2685.13,2406.15,2423.59,1686.67,2292.31,2600,0
15_12_42,93,1969.23,2668.21,1969.74,1873.33,1918.46,2125.13,2591.28,2299.49,2682.56,2404.1,2423.08,1693.33,2293.85,2601.03,0
15_12_42,94,1973.85,2667.69,1972.82,1868.72,1919.49,2129.23,2589.74,2301.54,2683.08,2406.67,2422.05,1695.38,2297.95,2601.03,0
15_12_42,95,1978.97,2666.67,1977.95,1874.87,1922.05,2133.85,2592.31,2300,2685.64,2413.33,2423.08,1696.41,2297.95,2601.54,0
15_12_42,96,1983.08,2668.21,1986.67,1885.64,1930.77,2137.44,2591.28,2303.08,2685.64,2412.82,2425.64,1699.49,2297.95,2603.59,0
15_12_42,97,1987.18,2669.74,1989.23,1886.67,1935.9,2140,2593.85,2301.54,2684.1,2410.26,2428.21,1695.9,2306.15,2604.1,0
15_12_42,98,1994.87,2668.21,1985.13,1890.77,1932.82,2140.51,2598.97,2303.08,2684.1,2412.31,2429.23,1692.31,2311.28,2603.08,0
15_12_42,99,1996.92,2668.21,1992.82,1901.54,1935.9,2143.59,2600,2311.79,2684.1,2416.92,2431.28,1700,2308.21,2603.08,0
15_12_42,100,1995.9,2669.74,2006.15,1903.59,1945.13,2147.18,2598.46,2313.33,2684.62,2419.49,2437.44,1718.97,2311.28,2607.18,0
15_12_42,101,2002.56,2669.74,2008.21,1901.54,1951.28,2149.74,2598.46,2312.31,2684.1,2420,2438.97,1724.62,2318.46,2608.21,0
15_12_42,102,2010.26,2669.23,2008.21,1908.72,1952.31,2151.28,2598.97,2318.46,2684.1,2421.03,2435.38,1720.51,2318.46,2607.18,0
15_12_42,103,2010.26,2669.23,2013.33,1918.46,1954.36,2156.92,2600.51,2320.51,2685.64,2424.1,2435.38,1723.08,2318.97,2607.18,0
15_12_42,104,2011.28,2669.74,2015.9,1919.49,1959.49,2161.54,2603.08,2318.97,2686.67,2426.15,2438.46,1729.74,2324.62,2610.77,0
15_12_42,105,2021.03,2670.26,2019.49,1916.41,1965.64,2163.08,2602.05,2318.97,2686.67,2426.15,2441.54,1731.28,2326.67,2608.72,0
15_12_42,106,2027.69,2671.28,2025.64,1923.59,1968.72,2166.15,2600.51,2318.97,2688.21,2428.21,2443.59,1733.33,2327.18,2607.69,0
