37,4067.18,4080,4076.41,4091.79,4096.41,4075.9,4089.74,4078.97,4104.62,4073.85,4093.33,4062.05,4090.77,4073.33,0
38,4063.08,4080,4072.82,4086.67,4101.54,4072.82,4086.15,4081.54,4109.23,4087.18,4086.67,4062.05,4078.97,4063.59,0
39,4055.9,4073.85,4072.31,4074.87,4049.74,4070.77,4085.64,4079.49,4105.64,4077.44,4088.21,4061.03,4080.51,4062.05,0
40,4068.21,4082.56,4082.05,4087.69,4075.9,4084.1,4095.38,4077.95,4105.64,4073.33,4102.05,4072.31,4091.79,4074.87,0
41,4078.46,4091.79,4088.21,4094.87,4138.46,4094.87,4100,4081.03,4112.31,4103.08,4110.77,4081.03,4096.41,4082.05,0
42,4059.49,4075.38,4077.95,4073.33,4129.74,4085.13,4095.38,4077.44,4109.74,4104.1,4100,4068.21,4087.69,4070.26,0
43,4047.18,4065.64,4069.74,4067.69,4099.49,4075.38,4093.85,4076.41,4106.15,4086.15,4089.23,4055.38,4082.56,4058.46,0
44,4061.03,4084.62,4075.38,4084.62,4076.92,4073.33,4094.87,4088.72,4112.31,4093.85,4095.38,4058.46,4087.18,4060.51,0
45,4064.62,4091.28,4075.38,4085.13,4056.92,4063.08,4087.18,4090.26,4112.31,4107.69,4102.56,4058.97,4085.13,4061.03,0
46,4055.9,4078.97,4072.82,4076.92,4086.67,4058.97,4079.49,4082.05,4107.18,4112.31,4103.08,4055.9,4083.08,4060,0
47,4061.03,4079.49,4080,4079.49,4126.15,4071.79,4083.59,4082.05,4107.18,4070.26,4104.62,4062.05,4092.31,4066.15,0
48,4062.05,4079.49,4083.59,4078.97,4089.23,4077.95,4086.67,4082.56,4103.59,4027.69,4100,4062.56,4085.13,4064.1,0
49,4049.74,4066.15,4077.44,4072.82,4037.95,4067.69,4082.56,4077.95,4100,4081.03,4088.21,4052.31,4065.64,4052.31,0
50,4050.26,4065.64,4073.85,4072.82,4075.38,4062.05,4084.62,4083.59,4106.15,4141.03,4089.23,4055.38,4070.77,4054.87,0
51,4060.51,4074.36,4076.41,4075.38,4123.59,4071.28,4091.28,4092.31,4107.69,4104.1,4096.41,4067.69,4083.08,4066.15,0
52,4062.56,4073.85,4076.92,4073.33,4094.36,4075.9,4091.79,4089.23,4102.05,4065.64,4093.85,4068.21,4076.92,4065.13,0
53,4058.46,4071.28,4076.41,4071.79,4066.67,4068.72,4090.77,4083.08,4097.44,4063.59,4091.28,4061.54,4072.82,4056.41,0
54,4057.95,4068.72,4076.92,4076.92,4092.31,4069.23,4090.77,4078.46,4097.44,4047.18,4093.33,4059.49,4075.9,4053.33,0
55,4057.95,4064.62,4075.38,4077.44,4104.62,4075.9,4088.72,4074.87,4101.03,4067.18,4096.41,4062.56,4076.41,4058.46,0
56,4061.54,4073.85,4078.46,4074.36,4078.46,4076.41,4091.28,4078.97,4107.18,4115.38,4105.64,4070.26,4085.64,4067.69,0
57,4066.15,4082.05,4082.05,4077.44,4044.62,4070.26,4091.28,4082.05,4108.21,4110.26,4108.21,4072.31,4092.82,4066.67,0
58,4060,4076.41,4073.85,4078.46,4065.64,4064.1,4087.69,4075.38,4105.64,4074.87,4097.44,4059.49,4080,4056.92,0
59,4063.59,4077.95,4072.31,4079.49,4136.92,4070.77,4090.77,4075.38,4106.67,4060,4101.54,4055.38,4078.46,4058.97,0
60,4075.9,4082.05,4085.13,4082.05,4109.23,4078.97,4094.36,4077.95,4103.08,4076.41,4111.79,4067.18,4092.31,4069.74,0
61,4071.28,4072.82,4087.18,4078.97,4031.28,4074.36,4089.74,4072.82,4100,4104.1,4106.67,4072.31,4091.79,4070.77,0
62,4065.64,4074.36,4081.03,4082.05,4098.97,4078.46,4091.79,4081.03,4112.82,4108.72,4113.33,4073.85,4094.36,4073.85,0
63,4077.44,4085.64,4083.08,4091.28,4171.79,4091.79,4101.54,4091.28,4127.69,4102.56,4127.18,4080,4106.67,4086.15,0
64,4072.31,4070.26,4080.51,4079.49,4070.77,4074.87,4095.38,4073.33,4115.38,4090.77,4106.15,4070.26,4087.69,4076.41,0
65,4051.79,4049.23,4072.82,4064.1,4011.28,4053.33,4082.05,4052.82,4097.44,4066.15,4077.95,4050.77,4055.9,4049.74,0
66,4048.72,4058.46,4073.33,4071.28,4090.26,4065.13,4084.62,4057.95,4100.51,4060,4086.15,4045.13,4060.51,4043.08,0
67,4050.26,4069.74,4074.36,4078.46,4113.85,4075.38,4090.26,4062.56,4102.56,4062.05,4096.41,4049.74,4074.87,4051.79,0
68,4046.67,4068.21,4074.36,4076.41,4082.05,4071.28,4087.69,4057.44,4097.95,4058.97,4090.26,4053.33,4073.33,4056.92,0
69,4053.85,4072.82,4080,4082.05,4109.74,4075.9,4089.23,4064.1,4103.08,4088.21,4097.44,4059.49,4077.44,4059.49,0
70,4062.05,4075.9,4080,4084.1,4113.85,4076.41,4092.82,4074.87,4109.23,4120.51,4105.13,4062.56,4082.05,4061.54,0
71,4057.95,4066.15,4076.41,4075.9,4047.18,4065.64,4090.77,4074.87,4106.67,4087.18,4095.9,4058.46,4076.41,4058.46,0
72,4058.46,4063.08,4079.49,4073.85,4051.28,4068.72,4092.31,4075.9,4107.18,4063.08,4092.82,4061.03,4077.44,4061.03,0
73,4061.03,4065.64,4081.03,4080,4125.64,4080,4097.44,4081.03,4112.31,4111.28,4096.92,4064.62,4078.97,4063.59,0
74,4052.82,4057.44,4076.92,4076.92,4118.46,4078.46,4092.82,4072.82,4110.26,4128.21,4090.26,4055.38,4065.13,4050.77,0
