TIME, ED_COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, LABEL
11_33_47,86,1549.23,1968.21,1539.49,1497.95,1478.97,1619.49,1894.87,1750.77,1995.9,1803.59,1796.92,1354.36,1752.82,1942.05,0
11_33_47,87,1574.36,1981.03,1565.13,1522.05,1502.05,1641.54,1906.67,1767.18,2000.51,1817.44,1811.28,1367.69,1771.79,1952.82,0
11_33_47,88,1577.95,1982.56,1566.67,1523.08,1503.59,1644.1,1905.64,1771.79,1998.97,1824.62,1807.69,1361.54,1772.82,1951.79,0
11_33_47,89,1576.41,1979.49,1564.1,1515.9,1505.13,1642.05,1909.74,1768.72,2006.15,1825.64,1804.62,1363.08,1767.69,1951.79,0
11_33_47,90,1583.59,1981.03,1571.28,1522.56,1516.92,1653.85,1919.49,1770.26,2012.31,1825.13,1811.28,1371.79,1771.79,1954.36,0
11_33_47,91,1588.21,1983.08,1573.33,1533.85,1520,1659.49,1917.44,1775.9,2009.74,1824.1,1814.36,1367.69,1777.44,1953.33,0
11_33_47,92,1590.26,1984.62,1575.38,1535.9,1516.92,1653.33,1914.36,1782.56,2010.77,1825.13,1814.87,1371.79,1778.46,1958.97,0
11_33_47,93,1591.79,1982.56,1579.49,1532.82,1519.49,1655.9,1917.95,1784.62,2014.36,1830.26,1818.97,1383.08,1779.49,1965.13,0
11_33_47,94,1592.31,1982.05,1585.13,1536.41,1527.69,1658.97,1919.49,1782.56,2013.33,1835.9,1823.59,1386.67,1784.62,1963.08,0
11_33_47,95,1596.41,1988.72,1590.77,1547.18,1532.31,1657.44,1919.49,1786.15,2012.31,1838.46,1822.56,1391.28,1787.18,1963.08,0
11_33_47,96,1598.46,1990.26,1593.33,1551.28,1534.36,1665.13,1917.95,1790.77,2014.36,1838.46,1824.1,1402.56,1787.69,1964.62,0
11_33_47,97,1601.03,1988.72,1594.87,1549.74,1536.92,1674.36,1916.41,1792.31,2015.38,1840.51,1831.28,1412.82,1795.9,1969.23,0
11_33_47,98,1607.18,1994.36,1597.95,1550.77,1537.95,1671.28,1923.59,1795.38,2013.85,1845.13,1833.85,1415.38,1801.54,1971.28,0
11_33_47,99,1611.28,1997.95,1601.03,1558.97,1541.54,1669.23,1932.82,1798.97,2017.95,1849.74,1837.44,1415.38,1798.97,1971.28,0
11_33_47,100,1614.87,1995.9,1605.64,1566.67,1548.72,1680.51,1934.87,1802.56,2026.15,1853.85,1842.05,1416.92,1799.49,1975.38,0
11_33_47,101,1616.41,1997.95,1611.79,1566.67,1552.31,1688.72,1933.33,1807.18,2026.67,1857.44,1838.46,1422.56,1805.13,1980.51,0
11_33_47,102,1620.51,1996.92,1612.82,1565.64,1552.82,1686.67,1934.36,1809.23,2023.59,1855.9,1839.49,1430.26,1807.18,1978.97,0
